Gasellår;Orgnr;Namn;Koncern;Koordinater;Bolaget har säte på annan ort;Har koncernmoder;Adress;Postnr.;Ort;Telefon;Län;Län, klartext;Kommun;Kommun, klartext;SNIkod;SNI, klartext;Bransch enl. DI;Omsättning år 1;Omsättning år 2;Omsättning år 3;Omsättning år 4;Förändring omsättn.;Förlängd/förkortad periodlängd år 1;Förlängd/förkortad periodlängd år 2;Förlängd/förkortad periodlängd år 3;Förlängd/förkortad periodlängd år 4;Rörelseresultat år 1;Rörelseresultat år 2;Rörelseresultat år 3;Rörelseresultat år 4;Antal anställda år 1;Antal anställda år 2;Antal anställda år 3;Antal anställda år 4;Koncernmoder orgnr;Koncernmoder namn;VD/ansvarig födelseår;VD/ansvarig namn;VD/ansvarig, roll;VD/ansvarig, kön;Senaste bokslut;Revisorskommentar år 1;Revisorskommentar år 2;Revisorskommentar år 3;Revisorskommentar år 4;Riskklass;Registreringsstatus;Verksamhetsstatus;Statusdatum Bolagsverket;Status, Bolagsverket;Finns på bolagslistan;Finns på koncernlistan;Gasell förra året;Antal storleksförändringar efter senaste bokslut;Datum för senaste storleksförändring;Typ av storleksförändring;Förändrad storleksklasning;Extra vinstutdelning, belopp;Valuta;Stämmans beslutsdatum
2021;5590969712;SVENSK ELKRAFTSENTREPRENAD AB ;Nej;58.60806067525024, 16.170899056294044;;Nej;STÅTHÖGAVÄGEN 38 2TR;60223;NORRKÖPING ;  ;5;Östergötlands län   ;581;Norrköping    ;43210;Elinstallationer                                                                                               ;Bygg- och entreprenadföretag;148 413 000;107 504 000;56 196 000;8 627 000;1620 %;Nej;Nej;Nej;Nej;15 236 000;5 758 000;3 985 000;348 000;13;13;9;5;  ;  ;1955;Holm, Lars Olof Valter ;1;Man   ;12/31/2020;T ;T ;T ;T ;AAA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;   ;;;;;;;
2021;5569614489;Wellnox Health AB ;Nej;58.594840994615396, 16.155130598622225;;Nej;HAGAGATAN 4;60215;NORRKÖPING ;  ;5;Östergötlands län   ;581;Norrköping    ;46340;Partihandel med drycker                                                                                        ;Handelsföretag              ;39 916 500;29 109 000;15 869 000;5 176 000;671 %;Ja ;Nej;Nej;Nej;1 678 000;1 150 000;1 552 000;−181 000;25;17;6;5;5569614489;Wellnox Health AB ;1963;Sjölander, Ulf Peter Thomas ;1;Man   ;4/30/2020;T ;T ;T ;T ;A ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;   ;;;;;;;
2021;5569326787;TSL Restaurang & Catering AB ;Nej;58.31463880115441, 16.68029075628501;;Nej;SLÄTTVÄGEN 4;61573;GUSUM ;070-4835189;5;Östergötlands län   ;581;Norrköping    ;56100;Restaurangverksamhet                                                                                           ;Hotell och restauranger      ;19 416 000;7 724 000;4 246 000;4 151 000;368 %;Nej;Nej;Nej;Nej;481 000;206 000;28 000;150 000;19;8;4;4;  ;  ;1976;Laving, Sofia Kristina ;0;Kvinna;8/31/2020;T ;T ;T ;S ;AA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;   ;;;;;;;
2021;5569456824;iDoc AB ;Nej;58.59156468747404, 16.181658640950623;;Ja ;SANDGATAN 9;60221;NORRKÖPING ;011-120204;5;Östergötlands län   ;581;Norrköping    ;78200;Personaluthyrning                                                                                              ;Företagstjänster           ;50 418 000;31 873 000;31 039 000;10 889 000;363 %;Nej;Nej;Nej;Nej;1 495 000;2 031 000;3 402 000;1 409 000;17;15;14;5;5591347868;Livland Holding AB ;1981;Lind, Erik Karl Johan ;0;Man   ;12/31/2020;T ;T ;T ;T ;AA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;Ja ;;;;;;;
2021;5569296584;Againity AB ;Nej;58.59743443761122, 16.17638458512949;;Nej;INGELSTAGATAN 1;60241;NORRKÖPING ;070-4253766;5;Östergötlands län   ;581;Norrköping    ;28990;Tillverkning av övriga specialmaskiner                                                                        ;Tillverkningsindustri        ;27 569 000;19 796 000;7 025 250;6 600 000;318 %;Nej;Nej;Ja ;Nej;4 296 000;1 707 000;1 027 000;588 000;11;10;9;6;  ;  ;1974;Frykerås, David Vilhelm Gert ;1;Man   ;12/31/2020;T ;T ;T ;T ;AA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;Ja ;;;;;;;
2021;5590459342;ELTAL AB ;Nej;58.598901301599156, 16.13638024280089;;Nej;KABELVÄGEN 19;60210;NORRKÖPING ;072-3328045;5;Östergötlands län   ;581;Norrköping    ;27120;Tillverkning av eldistributions- och elkontrollapparater                                                       ;Tillverkningsindustri        ;14 856 000;9 606 000;6 744 000;3 908 308;280,11 %;Nej;Nej;Nej;Ja ;711 000;286 000;131 000;274 000;10;8;6;4;  ;  ;1973;Andersson, Patrik Roger Harald ;1;Man   ;4/30/2020;T ;T ;S ;S ;AA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;   ;;;;;;;
2021;5568416340;Strandbergs Stensättning AB ;Nej;58.38746320423644, 15.43563711210865;;Nej;FÅLÅSAVÄGEN 15;58371;VIKINGSTAD ;013-81322;5;Östergötlands län   ;580;Linköping     ;43120;Mark- och grundarbeten                                                                                         ;Bygg- och entreprenadföretag;26 454 000;21 051 000;12 225 000;7 531 000;251 %;Nej;Nej;Nej;Nej;1 457 000;1 941 000;81 000;222 000;14;13;9;7;  ;  ;1962;Strandberg, Karl Magnus Oskar ;0;Man   ;4/30/2020;T ;T ;T ;T ;AA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;Ja ;;;;;;;
2021;5568274897;Soffadirekt Scandinavia AB ;Nej;58.60689201818193, 16.17511200151446;;Ja ;MALMGATAN 5 N 15 A;60223;NORRKÖPING ;011-4707676;5;Östergötlands län   ;581;Norrköping    ;46470;Partihandel med möbler, mattor och belysningsartiklar                                                         ;Handelsföretag              ;125 444 000;86 705 000;60 819 000;36 069 000;248 %;Nej;Nej;Nej;Nej;6 491 000;656 000;3 260 000;1 173 000;19;18;12;8;5567562862;MAZZARELLA HOLDING AB ;1971;Mazzarella, Roberto Valentino ;1;Man   ;12/31/2020;T ;T ;T ;T ;AAA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;Ja ;;;;;;;
2021;5569607723;CMG Logistik AB ;Nej;58.6095434779694, 16.339465715226194;;Nej;SIDUS 13  DAGSBERG;60591;NORRKÖPING ;073-3987409;5;Östergötlands län   ;581;Norrköping    ;78200;Personaluthyrning                                                                                              ;Företagstjänster           ;18 900 000;13 621 000;6 636 000;5 510 000;243 %;Nej;Nej;Nej;Nej;1 400 000;1 019 000;288 000;145 000;15;10;8;6;  ;  ;1970;Garstad, Per Robert Mikael ;1;Man   ;4/30/2020;T ;T ;T ;S ;A ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;   ;;;;;;;
2021;5568741044;Byggtec i Norrköping AB ;Nej;58.58167702223359, 16.221774356293295;;Ja ;RISÄNGSGATAN 21;60228;NORRKÖPING ;072-2205463;5;Östergötlands län   ;581;Norrköping    ;41200;Byggande av bostadshus och andra byggnader                                                                     ;Bygg- och entreprenadföretag;150 783 000;125 548 000;120 391 000;48 934 000;208 %;Nej;Nej;Nej;Nej;12 041 000;3 018 000;4 628 000;3 740 000;34;47;35;22;5567990758;Jelab Invest AB ;1972;Edvardsson, Johan Niclas Ronny ;1;Man   ;12/31/2020;T ;T ;T ;T ;AAA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;Ja ;;;;;;;
